libzmf 0.0.2-13
licenses 20220125-1
lilv 0.24.20-1
linux 6.0.2.arch1-1
linux-api-headers 5.18.15-1
linux-atm 2.5.2-7
linux-firmware 20220913.f09bebf-1
linux-firmware-marvell 20220913.f09bebf-1
linux-firmware-qlogic 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
linux-headers 6.0.2.arch1-1
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.20.1-1
lpsolve 5.5.2.11-1
lrzip 0.651-2
lsb-release 2.0.r48.3cf5103-1
lsof 4.96.3-1
lsscsi 0.32-1
lua 5.4.4-2
lua52 5.2.4-5
luajit 2.1.0.beta3.r449.gdad04f17-1
lv2 1.18.10-1
lvm2 2.03.16-2
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-3
lzop 1.04-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-13
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.11.0-1
man-pages 6.01-1
mc 4.8.28-1
md4c 0.4.8-1
mdadm 4.2-2
megasync-bin 4.6.8-2
memtest86+ 5.31b-1
mesa 22.2.1-1
mesa-utils 8.5.0-2
metis 5.1.0.p10-2
micro 2.0.11-4
microsoft-edge-stable-bin 105.0.1343.50-1
minizip 1:1.2.13-1
mjpegtools 2.2.1-1
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20220725-1
modemmanager 1.18.12-1
mpd 0.23.10-2
mpdecimal 2.5.1-1
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mpv-git 0.34.0_484_g2b0736ed83-1
mtdev 1.1.6-2
mtools 1:4.0.42-1
mtpfs 1.1-4
mujs 1.3.0-1
multipath-tools 0.9.1-1
mypaint-brushes1 1.3.1-1
nasm 2.15.05-1
nbd 3.24-1
ncurses 6.3-3
ndctl 74-1
ndisc6 1.0.5-1
neofetch 7.1.0-2
neon 0.32.4-1
net-snmp 5.9.1-4
net-tools 2.10-1
netpbm 10.73.37-2
nettle 3.8.1-1
network-manager-applet 1.28.0-1
networkmanager 1.40.2-1
networkmanager-openconnect 1.2.8-2
networkmanager-openvpn 1.10.0-1
networkmanager-pptp 1.2.10-2
networkmanager-vpnc 1.2.8-2
nfs-utils 2.6.2-1
nfsidmap 2.6.2-1
nftables 1:1.0.5-1
nilfs-utils 2.2.9-1
nitrogen 1.6.1-4
nm-connection-editor 1.28.0-1
node-gyp 9.3.0-1
nodejs 19.0.0-2
nodejs-nopt 6.0.0-1
notepadqq 1.4.8-6
noto-fonts 20220810-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.84-1
nss-mdns 0.15.1-1
nsxiv 30-2
ntfs-3g 2022.5.17-1
ntp 4.2.8.p15-1
numactl 2.0.16-1
numlockx 1.2-5
nvme-cli 2.1.2-1
oath-toolkit 2.6.7-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
open-iscsi 2.1.8-1
open-isns 0.102-1
openal 1.22.2-1
openbsd-netcat 1.218_5-1
openconnect 1:9.01-2
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-4
openpmix 4.2.1-1
openresolv 3.12.0-1
openssh 9.1p1-1
openssl 1.1.1.q-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.7-1
opus 1.3.1-3
orc 0.4.32-2
os-prober 1.81-1
osinfo-db 20220830-1
ostree 2022.6-1
p11-kit 0.24.1-1
pacman 6.0.1-8
pacman-contrib 1.7.1-1
pacman-mirrorlist 20221016-1
pahole 1:1.24-1
pam 1.5.2-1
pamac-cli 10.4.2-1
pamac-gtk 10.4.2-1
pambase 20221020-1
pango 1:1.50.11-1
pangomm 2.46.3-1
partclone 0.3.20-2
parted 3.5-1
